Query,Cost,Type
q12,6.106388937,Est-GS
q2,114434.1457,Est-GS
q4,119.9507902,Est-GS
q7,0,Est-GS
q8,186.4686439,Est-GS
q9,3.15E+07,Est-GS
c0,106660.6658,Est-GS
c1,2400673.53,Est-GS
c2,7811299.942,Est-GS
c3,114434.1457,Est-GS
c4,127613.4944,Est-GS
c5,7434021.257,Est-GS
f1,453.7171443,Est-GS
f2,1663.748006,Est-GS
f3,6.970702013,Est-GS
f4,0,Est-GS
f5,186.4686439,Est-GS
f6,6.106388937,Est-GS
f7,1957547.824,Est-GS
f8,4365812.616,Est-GS
s1,34.00920184,Est-GS
s2,119.9507902,Est-GS
s3,2694762.912,Est-GS
s4,255018,Est-GS
s5,879219.3774,Est-GS
s6,186456.5811,Est-GS
q12,570,True-GS
q2,7011712,True-GS
q4,136,True-GS
q7,20883327,True-GS
q8,23925,True-GS
q9,14608491,True-GS
c0,8601206,True-GS
c1,720618,True-GS
c2,2413307,True-GS
c3,7011712,True-GS
c4,5752390,True-GS
c5,3382324,True-GS
f1,3660,True-GS
f2,71837,True-GS
f3,680,True-GS
f5,23925,True-GS
f6,570,True-GS
f7,16032235,True-GS
f8,2398618,True-GS
s1,40,True-GS
s2,136,True-GS
s3,2519362,True-GS
s4,255018,True-GS
s5,1438099,True-GS
s6,425160,True-GS
q12,6.106388937,Est-SS
q2,114498.3143,Est-SS
q4,93.15141046,Est-SS
q7,0,Est-SS
q8,182.5900417,Est-SS
q9,3.18E+07,Est-SS
c0,1.51E+07,Est-SS
c1,3483540.315,Est-SS
c2,0,Est-SS
c3,114498.3143,Est-SS
c4,128613.4944,Est-SS
c5,9346767.441,Est-SS
f1,392.8368624,Est-SS
f2,1663.748006,Est-SS
f3,6.970702013,Est-SS
f4,0,Est-SS
f5,182.5900417,Est-SS
f6,6.106388937,Est-SS
f7,1.57E+07,Est-SS
f8,4595838.775,Est-SS
s1,11.09780055,Est-SS
s2,93.15141046,Est-SS
s3,3779043,Est-SS
s4,340024,Est-SS
s5,1438099,Est-SS
s6,510166,Est-SS
q12,570,True-SS
q2,5753674,True-SS
q4,136,True-SS
q7,20883327,True-SS
q8,23925,True-SS
q9,14608491,True-SS
c0,8601206,True-SS
c1,720618,True-SS
c2,2413307,True-SS
c3,5753674,True-SS
c4,5752390,True-SS
c5,3382324,True-SS
f1,4344,True-SS
f2,71837,True-SS
f3,680,True-SS
f5,23925,True-SS
f6,570,True-SS
f7,16032235,True-SS
f8,2398618,True-SS
s1,40,True-SS
s2,136,True-SS
s3,2519362,True-SS
s4,255018,True-SS
s5,1438099,True-SS
s6,425160,True-SS
