Query,Error,Type
q12,15.00,q-error-SS
q2,2.55,q-error-SS
q4,1.96,q-error-SS
q7,67.00,q-error-SS
q8,138.41,q-error-SS
q9,124.85,q-error-SS
c0,1.39,q-error-SS
c1,2032.38,q-error-SS
c2,1284.00,q-error-SS
c3,2.55,q-error-SS
c4,13245.73,q-error-SS
c5,238.67,q-error-SS
f1,13.33,q-error-SS
f2,250.88,q-error-SS
f3,125.00,q-error-SS
f4,67.00,q-error-SS
f5,138.41,q-error-SS
f6,15.00,q-error-SS
f7,1.07,q-error-SS
f8,1.39,q-error-SS
s1,10.00,q-error-SS
s2,1.96,q-error-SS
s3,1.00,q-error-SS
s4,1.00,q-error-SS
s5,1.00,q-error-SS
s6,1.00,q-error-SS
q12,15,q-error-GS
q2,3.280590131,q-error-GS
q4,1.133798284,q-error-GS
q7,67,q-error-GS
q8,129.4898533,q-error-GS
q9,124.8485294,q-error-GS
c0,1601.111678,q-error-GS
c1,979.007393,q-error-GS
c2,2443.80332,q-error-GS
c3,3.280590131,q-error-GS
c4,13245.72833,q-error-GS
c5,182.4545568,q-error-GS
f1,7.990929976,q-error-GS
f2,250.8845609,q-error-GS
f3,125,q-error-GS
f4,67,q-error-GS
f5,129.4898533,q-error-GS
f6,15,q-error-GS
f7,8.266657295,q-error-GS
f8,1.937229234,q-error-GS
s1,1.176152272,q-error-GS
s2,1.133798284,q-error-GS
s3,1.139242326,q-error-GS
s4,1,q-error-GS
s5,2.075959556,q-error-GS
s6,15.51562779,q-error-GS
q12,573.3880443,q-error-GDB
q2,1261.274143,q-error-GDB
q4,1.205882353,q-error-GDB
q7,1.249306113,q-error-GDB
q8,17.12493399,q-error-GDB
q9,45.22304746,q-error-GDB
c0,11.42222399,q-error-GDB
c1,505.2766317,q-error-GDB
c2,1261.274143,q-error-GDB
c3,1261.274143,q-error-GDB
c4,1619476,q-error-GDB
c5,79.52510881,q-error-GDB
f1,38.92477138,q-error-GDB
f2,2257.816379,q-error-GDB
f3,68.80656531,q-error-GDB
f5,17.12493399,q-error-GDB
f6,573.3880443,q-error-GDB
f7,2.071095534,q-error-GDB
f8,2.324769417,q-error-GDB
s1,4.1,q-error-GDB
s2,1.205882353,q-error-GDB
s3,1.443667581,q-error-GDB
s4,1,q-error-GDB
s5,2.075959556,q-error-GDB
s6,1.00032905,q-error-GDB
q12,55.27,q-error-CS
q2,1284,q-error-CS
q4,4.26,q-error-CS
q7,43538829874,q-error-CS
q8,1.63,q-error-CS
q9,105.791334,q-error-CS
c0,11.101,q-error-CS
c1,603.516537,q-error-CS
c2,1261.274143,q-error-CS
c3,1284.00,q-error-CS
c4,1619476,q-error-CS
c5,79,q-error-CS
f1,1.56,q-error-CS
f2,10.96,q-error-CS
f3,6.63,q-error-CS
f5,1.63,q-error-CS
f6,55.27,q-error-CS
f7,16.82602923,q-error-CS
f8,1.44905602,q-error-CS
s1,14.50,q-error-CS
s2,4.26,q-error-CS
s3,4.43017637,q-error-CS
s4,65.64958944,q-error-CS
s5,2.168205812,q-error-CS
q12,1.333333333,q-error-SumRDF
q2,1.019857029,q-error-SumRDF
q4,1.133333333,q-error-SumRDF
q7,1.675,q-error-SumRDF
q8,1.340308087,q-error-SumRDF
q9,10474.23077,q-error-SumRDF
c0,1.006302428,q-error-SumRDF
c1,1.048638132,q-error-SumRDF
c2,1.019857029,q-error-SumRDF
c3,1.019857029,q-error-SumRDF
c4,1,q-error-SumRDF
c5,10000.45455,q-error-SumRDF
f1,1.355957768,q-error-SumRDF
f2,1.37283042,q-error-SumRDF
f3,1.36,q-error-SumRDF
f4,1.675,q-error-SumRDF
f5,1.340308087,q-error-SumRDF
f6,1.333333333,q-error-SumRDF
f7,1,q-error-SumRDF
f8,1,q-error-SumRDF
s1,1.176470588,q-error-SumRDF
s2,1.133333333,q-error-SumRDF
s3,1,q-error-SumRDF
s4,1,q-error-SumRDF
s5,1,q-error-SumRDF
s6,1,q-error-SumRDF
