Query,Type,Time
q2,SS,8.0
q2,SS,9.0
q2,SS,8.0
q2,SS,6.0
q2,SS,6.0
q2,SS,6.0
q2,SS,6.0
q2,SS,7.0
q2,SS,7.0
q2,SS,7.0
q2,GS,11.0
q2,GS,5.0
q2,GS,4.0
q2,GS,5.0
q2,GS,5.0
q2,GS,5.0
q2,GS,5.0
q2,GS,6.0
q2,GS,5.0
q2,GS,5.0
q2,Jena,1.0
q2,Jena,1.0
q2,Jena,1.0
q2,Jena,1.0
q2,Jena,1.0
q2,Jena,1.0
q2,Jena,1.0
q2,Jena,2.0
q2,Jena,1.0
q2,Jena,1.0
q2,GraphDB,0.0
q2,GraphDB,1.0
q2,GraphDB,1.0
q2,GraphDB,1.0
q2,GraphDB,1.0
q2,GraphDB,1.0
q2,GraphDB,2.0
q2,GraphDB,1.0
q2,GraphDB,1.0
q2,GraphDB,0.0
q4,SS,6.0
q4,SS,7.0
q4,SS,7.0
q4,SS,5.0
q4,SS,6.0
q4,SS,6.0
q4,SS,6.0
q4,SS,5.0
q4,SS,6.0
q4,SS,7.0
q4,GS,4.0
q4,GS,5.0
q4,GS,5.0
q4,GS,4.0
q4,GS,3.0
q4,GS,4.0
q4,GS,4.0
q4,GS,4.0
q4,GS,3.0
q4,GS,4.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,2.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,1.0
q4,GraphDB,1.0
q4,GraphDB,0.0
q4,GraphDB,1.0
q4,GraphDB,0.0
q4,GraphDB,1.0
q4,GraphDB,1.0
q4,GraphDB,0.0
q4,GraphDB,0.0
q4,GraphDB,0.0
q4,GraphDB,1.0
q7,SS,6.0
q7,SS,5.0
q7,SS,6.0
q7,SS,6.0
q7,SS,4.0
q7,SS,6.0
q7,SS,5.0
q7,SS,6.0
q7,SS,6.0
q7,SS,5.0
q7,GS,4.0
q7,GS,5.0
q7,GS,4.0
q7,GS,4.0
q7,GS,4.0
q7,GS,5.0
q7,GS,4.0
q7,GS,4.0
q7,GS,4.0
q7,GS,4.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,Jena,1.0
q7,GraphDB,0.0
q7,GraphDB,0.0
q7,GraphDB,0.0
q7,GraphDB,1.0
q7,GraphDB,0.0
q7,GraphDB,1.0
q7,GraphDB,0.0
q7,GraphDB,1.0
q7,GraphDB,1.0
q7,GraphDB,1.0
q8,SS,5.0
q8,SS,5.0
q8,SS,5.0
q8,SS,4.0
q8,SS,4.0
q8,SS,4.0
q8,SS,5.0
q8,SS,4.0
q8,SS,4.0
q8,SS,4.0
q8,GS,3.0
q8,GS,3.0
q8,GS,3.0
q8,GS,3.0
q8,GS,3.0
q8,GS,3.0
q8,GS,3.0
q8,GS,4.0
q8,GS,3.0
q8,GS,4.0
q8,Jena,1.0
q8,Jena,1.0
q8,Jena,1.0
q8,Jena,0.0
q8,Jena,1.0
q8,Jena,1.0
q8,Jena,1.0
q8,Jena,1.0
q8,Jena,1.0
q8,Jena,1.0
q8,GraphDB,0.0
q8,GraphDB,1.0
q8,GraphDB,1.0
q8,GraphDB,1.0
q8,GraphDB,1.0
q8,GraphDB,1.0
q8,GraphDB,1.0
q8,GraphDB,1.0
q8,GraphDB,0.0
q8,GraphDB,1.0
q9,SS,13.0
q9,SS,14.0
q9,SS,12.0
q9,SS,12.0
q9,SS,11.0
q9,SS,12.0
q9,SS,10.0
q9,SS,10.0
q9,SS,10.0
q9,SS,10.0
q9,GS,13.0
q9,GS,9.0
q9,GS,12.0
q9,GS,10.0
q9,GS,10.0
q9,GS,8.0
q9,GS,9.0
q9,GS,7.0
q9,GS,10.0
q9,GS,8.0
q9,Jena,3.0
q9,Jena,3.0
q9,Jena,3.0
q9,Jena,4.0
q9,Jena,3.0
q9,Jena,2.0
q9,Jena,3.0
q9,Jena,3.0
q9,Jena,2.0
q9,Jena,2.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,1.0
q9,GraphDB,0.0
q9,GraphDB,1.0
q12,SS,4.0
q12,SS,5.0
q12,SS,4.0
q12,SS,5.0
q12,SS,5.0
q12,SS,6.0
q12,SS,6.0
q12,SS,4.0
q12,SS,5.0
q12,SS,4.0
q12,GS,3.0
q12,GS,3.0
q12,GS,4.0
q12,GS,3.0
q12,GS,4.0
q12,GS,3.0
q12,GS,3.0
q12,GS,4.0
q12,GS,3.0
q12,GS,4.0
q12,Jena,1.0
q12,Jena,1.0
q12,Jena,0.0
q12,Jena,1.0
q12,Jena,0.0
q12,Jena,1.0
q12,Jena,1.0
q12,Jena,1.0
q12,Jena,1.0
q12,Jena,1.0
q12,GraphDB,0.0
q12,GraphDB,1.0
q12,GraphDB,1.0
q12,GraphDB,1.0
q12,GraphDB,1.0
q12,GraphDB,0.0
q12,GraphDB,1.0
q12,GraphDB,1.0
q12,GraphDB,1.0
q12,GraphDB,1.0
c0,SS,12.0
c0,SS,16.0
c0,SS,13.0
c0,SS,12.0
c0,SS,13.0
c0,SS,12.0
c0,SS,13.0
c0,SS,12.0
c0,SS,13.0
