Query,Type,Time
q2,SS,15095.0
q2,SS,15157.0
q2,SS,15141.0
q2,SS,15207.0
q2,SS,15062.0
q2,SS,15272.0
q2,SS,15025.0
q2,SS,15121.0
q2,SS,15084.0
q2,SS,15137.0
q2,GS,19851.0
q2,GS,20016.0
q2,GS,20112.0
q2,GS,19729.0
q2,GS,19739.0
q2,GS,20219.0
q2,GS,19958.0
q2,GS,20037.0
q2,GS,19884.0
q2,GS,19999.0
q2,Jena,18397.0
q2,Jena,19694.0
q2,Jena,15862.0
q2,Jena,12769.0
q2,Jena,14396.0
q2,Jena,15581.0
q2,Jena,18542.0
q2,Jena,15698.0
q2,Jena,19610.0
q2,Jena,70660.0
q2,GDB,27250.0
q2,GDB,27062.0
q2,GDB,27190.0
q2,GDB,27059.0
q2,GDB,26825.0
q2,GDB,27182.0
q2,GDB,27000.0
q2,GDB,26868.0
q2,GDB,27281.0
q2,GDB,27030.0
q4,SS,0.0
q4,SS,0.0
q4,SS,0.0
q4,SS,1.0
q4,SS,1.0
q4,SS,0.0
q4,SS,1.0
q4,SS,1.0
q4,SS,1.0
q4,SS,2.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,1.0
q4,GS,0.0
q4,Jena,1.0
q4,Jena,1.0
q4,Jena,0.0
q4,Jena,0.0
q4,Jena,1.0
q4,Jena,0.0
q4,Jena,0.0
q4,Jena,1.0
q4,Jena,0.0
q4,Jena,1.0
q4,GDB,1.0
q4,GDB,2.0
q4,GDB,1.0
q4,GDB,2.0
q4,GDB,1.0
q4,GDB,1.0
q4,GDB,2.0
q4,GDB,1.0
q4,GDB,1.0
q4,GDB,1.0
q7,SS,49124.0
q7,SS,48972.0
q7,SS,49422.0
q7,SS,49038.0
q7,SS,48802.0
q7,SS,49089.0
q7,SS,49040.0
q7,SS,48899.0
q7,SS,49496.0
q7,SS,49112.0
q7,GS,52907.0
q7,GS,52634.0
q7,GS,53385.0
q7,GS,53310.0
q7,GS,52941.0
q7,GS,52273.0
q7,GS,52890.0
q7,GS,52848.0
q7,GS,52973.0
q7,GS,52630.0
q7,Jena,0.0
q7,Jena,0.0
q7,Jena,0.0
q7,Jena,0.0
q7,Jena,0.0
q7,Jena,0.0
