Query,Cost,Type
C1,1.01E+07,Est-GS
C2,4.09E+06,Est-GS
C3,3.71E+08,Est-GS
F1,9657,Est-GS
F2,1301609.938,Est-GS
F3,6465191.343,Est-GS
F4,898779.5313,Est-GS
F5,1.81E+07,Est-GS
S1,5507642.574,Est-GS
S2,69598,Est-GS
S3,5881,Est-GS
S4,14529.45564,Est-GS
S5,1543,Est-GS
S6,97754.86118,Est-GS
S7,3569382.407,Est-GS
C1,33789,True-GS
C2,279071,True-GS
C3,4763201,True-GS
F1,223448.1369,True-GS
F2,32056,True-GS
F3,171631,True-GS
F5,2127807,True-GS
S1,360285,True-GS
S2,3280776.815,True-GS
S3,605656.316,True-GS
S4,534,True-GS
S5,77048.40721,True-GS
S6,9726,True-GS
S7,360002,True-GS
F1,9657,True-SS
S2,69598,True-SS
S3,5881,True-SS
S5,1543,True-SS
F1,10057.0132,Est-SS
S2,70598,Est-SS
S3,6881.316,Est-SS
S5,2043.40721,Est-SS
