Query,Error,Type
C1,0,q-error-SS
C2,0,q-error-SS
C3,0,q-error-SS
F1,36.52504776,q-error-SS
F2,0,q-error-SS
F3,0,q-error-SS
F4,0,q-error-SS
F5,0,q-error-SS
S1,0,q-error-SS
S2,47.53113325,q-error-SS
S3,50.13493844,q-error-SS
S4,0,q-error-SS
S5,95.58831342,q-error-SS
S6,0,q-error-SS
S7,0,q-error-SS
C1,4543.34837,q-error-GS
C2,4080.26738,q-error-GS
C3,83.4067462,q-error-GS
F1,121.980208,q-error-GS
F2,40.8997408,q-error-GS
F3,38.4818019,q-error-GS
F4,9.68151259,q-error-GS
F5,3.7949318,q-error-GS
S1,1.70000874,q-error-GS
S2,198.12833,q-error-GS
S3,52.1349384,q-error-GS
S4,43.9505246,q-error-GS
S5,99.5883134,q-error-GS
S6,10.0508802,q-error-GS
S7,9.91489605,q-error-GS
C1,3671.728557,q-error-GDB
C2,334967.41,q-error-GDB
C3,29.7055054,q-error-GDB
F1,12.15510226,q-error-GDB
F2,6.853126439,q-error-GDB
F3,19.56640535,q-error-GDB
F4,60.01974365,q-error-GDB
F5,2.047872455,q-error-GDB
S1,30.17271193,q-error-GDB
S2,19.7774037,q-error-GDB
S3,10.74630569,q-error-GDB
S4,152.9770115,q-error-GDB
S5,38.41384906,q-error-GDB
S6,1.011491462,q-error-GDB
S7,1.015488791,q-error-GDB
C1,72.12,q-error-CS
C2,22.00,q-error-CS
C3,1.00,q-error-CS
F1,49.41,q-error-CS
F2,1.00,q-error-CS
F3,1.06,q-error-CS
F4,50.62,q-error-CS
F5,1.00,q-error-CS
S1,1.00,q-error-CS
S2,11.17,q-error-CS
S3,1.00,q-error-CS
S4,87.00,q-error-CS
S5,138.33,q-error-CS
S6,1.00,q-error-CS
S7,1.00,q-error-CS
C1,10.5794948,q-error-SumRDF
C2,6.440677966,q-error-SumRDF
C3,10.66089183,q-error-SumRDF
F1,11.36939551,q-error-SumRDF
F2,11.04272558,q-error-SumRDF
F3,8.982239535,q-error-SumRDF
F4,157.7945291,q-error-SumRDF
F5,10.25408577,q-error-SumRDF
S1,8.27439618,q-error-SumRDF
S2,9.987425709,q-error-SumRDF
S3,9.739981067,q-error-SumRDF
S4,115.6079404,q-error-SumRDF
S5,68.84735202,q-error-SumRDF
S6,10.00933324,q-error-SumRDF
S7,11.04138085,q-error-SumRDF
