Query,Cost,Type
C1,1.01E+07,Est-GS
C2,4089223.01,Est-GS
C3,3.71E+08,Est-GS
F1,105462,Est-GS
F2,1301609.938,Est-GS
F3,6465191.343,Est-GS
F4,898779.5313,Est-GS
F5,1.81E+07,Est-GS
S1,5507642.574,Est-GS
S2,696332,Est-GS
S3,57262,Est-GS
S4,14529.45564,Est-GS
S5,16173,Est-GS
S6,97754.86118,Est-GS
S7,3569382.407,Est-GS
C1,309566,True-GS
C2,2520067,True-GS
C3,47237637,True-GS
F1,223448.1369,True-GS
F2,324194,True-GS
F3,1700492,True-GS
F4,2198744,True-GS
F5,21349499,True-GS
S1,3640393,True-GS
S2,3280776.815,True-GS
S3,615677.4997,True-GS
S4,16941,True-GS
S5,51873.32585,True-GS
S6,97592,True-GS
S7,3376197,True-GS
F1,115462.0132,Est-SS
S2,796332,Est-SS
S3,57262.4997,Est-SS
S5,17173.32585,Est-SS
F1,105462,True-SS
S2,696332,True-SS
S3,57262,True-SS
S5,16173,True-SS
