Query,error,Type
C1,0,q-error-SS
C2,0,q-error-SS
C3,0,q-error-SS
F1,3.113836641,q-error-SS
F2,0,q-error-SS
F3,0,q-error-SS
F4,0,q-error-SS
F5,0,q-error-SS
S1,0,q-error-SS
S2,4.721462369,q-error-SS
S3,10.98092099,q-error-SS
S4,0,q-error-SS
S5,3.654766676,q-error-SS
S6,0,q-error-SS
S7,0,q-error-SS
C1,641.3012792,q-error-GS
C2,262.4733401,q-error-GS
C3,8.417093896,q-error-GS
F1,10.39906764,q-error-GS
F2,4.017654439,q-error-GS
F3,3.880992044,q-error-GS
F4,2.094384225,q-error-GS
F5,2.667596355,q-error-GS
S1,16.30448308,q-error-GS
S2,19.68089941,q-error-GS
S3,10.98092099,q-error-GS
S4,1.218454721,q-error-GS
S5,3.654766676,q-error-GS
S6,1.001668796,q-error-GS
S7,1.057219827,q-error-GS
C1,5163.606672,q-error-GDB
C2,246717.6843,q-error-GDB
C3,30.0934171,q-error-GDB
F1,10.39906764,q-error-GDB
F2,6.683730287,q-error-GDB
F3,21.35348505,q-error-GDB
F4,29.95106811,q-error-GDB
F5,2.15822042,q-error-GDB
S1,33.44010195,q-error-GDB
S2,19.68089941,q-error-GDB
S3,10.97913679,q-error-GDB
S4,28.72333119,q-error-GDB
S5,35.6713686,q-error-GDB
S6,1.001668796,q-error-GDB
S7,1.057219827,q-error-GDB
