Query,Type,Time
C1,SS,0.0
C1,SS,0.0
C1,SS,0.0
C1,SS,1.0
C1,SS,0.0
C1,SS,0.0
C1,SS,0.0
C1,SS,1.0
C1,SS,1.0
C1,SS,1.0
C1,GS,0.0
C1,GS,0.0
C1,GS,0.0
C1,GS,0.0
C1,GS,0.0
C1,GS,1.0
C1,GS,1.0
C1,GS,0.0
C1,GS,1.0
C1,GS,0.0
C1,Jena,1.0
C1,Jena,0.0
C1,Jena,1.0
C1,Jena,1.0
C1,Jena,1.0
C1,Jena,1.0
C1,Jena,1.0
C1,Jena,1.0
C1,Jena,1.0
C1,Jena,2.0
C1,GDB,0.0
C1,GDB,0.0
C1,GDB,0.0
C1,GDB,1.0
C1,GDB,1.0
C1,GDB,0.0
C1,GDB,0.0
C1,GDB,1.0
C1,GDB,0.0
C1,GDB,0.0
C2,SS,1.0
C2,SS,1.0
C2,SS,0.0
C2,SS,1.0
C2,SS,0.0
C2,SS,0.0
C2,SS,0.0
C2,SS,1.0
C2,SS,1.0
C2,SS,0.0
C2,GS,1.0
C2,GS,1.0
C2,GS,0.0
C2,GS,1.0
C2,GS,0.0
C2,GS,0.0
C2,GS,1.0
C2,GS,1.0
C2,GS,1.0
C2,GS,0.0
C2,Jena,1.0
C2,Jena,2.0
C2,Jena,1.0
C2,Jena,1.0
C2,Jena,1.0
C2,Jena,1.0
C2,Jena,1.0
C2,Jena,0.0
C2,Jena,1.0
C2,Jena,2.0
C2,GDB,0.0
C2,GDB,0.0
C2,GDB,0.0
C2,GDB,1.0
C2,GDB,0.0
C2,GDB,1.0
C2,GDB,0.0
C2,GDB,1.0
C2,GDB,0.0
C2,GDB,0.0
C3,SS,0.0
C3,SS,0.0
C3,SS,0.0
C3,SS,0.0
C3,SS,1.0
C3,SS,1.0
C3,SS,0.0
C3,SS,1.0
C3,SS,1.0
C3,SS,0.0
C3,GS,1.0
C3,GS,1.0
C3,GS,0.0
C3,GS,0.0
C3,GS,1.0
C3,GS,1.0
C3,GS,1.0
C3,GS,1.0
C3,GS,1.0
C3,GS,1.0
C3,Jena,1.0
C3,Jena,1.0
C3,Jena,1.0
C3,Jena,2.0
C3,Jena,2.0
C3,Jena,3.0
C3,Jena,2.0
C3,Jena,1.0
C3,Jena,2.0
C3,Jena,1.0
C3,GDB,0.0
C3,GDB,0.0
C3,GDB,1.0
C3,GDB,0.0
C3,GDB,0.0
C3,GDB,1.0
C3,GDB,0.0
C3,GDB,1.0
C3,GDB,0.0
C3,GDB,0.0
F1,SS,0.0
F1,SS,0.0
F1,SS,1.0
F1,SS,1.0
F1,SS,1.0
F1,SS,1.0
F1,SS,1.0
