Query,Type,Time
C1,SS,2333.0
C1,SS,2333.0
C1,SS,2331.0
C1,SS,2265.0
C1,SS,2265.0
C1,SS,2278.0
C1,SS,2270.0
C1,SS,2277.0
C1,SS,2277.0
C1,SS,2269.0
C1,GS,2270.0
C1,GS,2270.0
C1,GS,2265.0
C1,GS,2180.0
C1,GS,2166.0
C1,GS,2166.0
C1,GS,2158.0
C1,GS,2180.0
C1,GS,2161.0
C1,GS,2159.0
C1,Jena,5323.0
C1,Jena,12631.0
C1,Jena,14835.0
C1,Jena,5486.0
C1,Jena,12709.0
C1,Jena,93183.0
C1,Jena,20542.0
C1,Jena,14369.0
C1,Jena,38947.0
C1,Jena,4981.0
C1,GDB,35573.0
C1,GDB,35573.0
C1,GDB,35662.0
C1,GDB,35783.0
C1,GDB,35743.0
C1,GDB,35960.0
C1,GDB,35685.0
C1,GDB,35719.0
C1,GDB,35880.0
C1,GDB,35605.0
C2,SS,10821.0
C2,SS,10821.0
C2,SS,11798.0
C2,SS,11159.0
C2,SS,10396.0
C2,SS,10217.0
C2,SS,10211.0
C2,SS,10220.0
C2,SS,10874.0
C2,SS,10509.0
C2,GS,10234.0
C2,GS,10234.0
C2,GS,10681.0
C2,GS,10091.0
C2,GS,9941.0
C2,GS,9946.0
C2,GS,9934.0
C2,GS,10118.0
C2,GS,10631.0
C2,GS,10123.0
C2,Jena,51614.0
C2,Jena,51310.0
C2,Jena,46120.0
C2,Jena,38248.0
C2,Jena,51586.0
C2,Jena,38756.0
C2,Jena,45614.0
C2,Jena,38765.0
C2,Jena,38736.0
C2,Jena,38482.0
C2,GDB,22891.0
C2,GDB,22891.0
C2,GDB,23870.0
C2,GDB,23354.0
C2,GDB,22863.0
C2,GDB,23729.0
C2,GDB,23333.0
C2,GDB,22861.0
C2,GDB,23711.0
C2,GDB,23425.0
C3,SS,55942.0
C3,SS,55942.0
C3,SS,54190.0
C3,SS,53889.0
C3,SS,54514.0
C3,SS,54263.0
C3,SS,54634.0
C3,SS,57547.0
C3,SS,57803.0
C3,SS,57744.0
C3,GS,53533.0
C3,GS,53533.0
C3,GS,53806.0
C3,GS,53760.0
C3,GS,53917.0
C3,GS,55161.0
C3,GS,56878.0
C3,GS,57286.0
C3,GS,56951.0
C3,GS,57004.0
C3,Jena,600018.0
C3,Jena,600021.0
C3,Jena,600001.0
C3,Jena,600047.0
C3,Jena,76418.0
C3,Jena,600046.0
C3,Jena,283072.0
C3,Jena,600003.0
C3,Jena,600001.0
C3,Jena,600001.0
C3,GDB,114994.0
C3,GDB,114994.0
C3,GDB,115336.0
C3,GDB,115216.0
C3,GDB,115648.0
C3,GDB,115230.0
C3,GDB,114943.0
C3,GDB,115564.0
C3,GDB,115595.0
C3,GDB,115319.0
F1,SS,281.0
F1,SS,281.0
F1,SS,281.0
F1,SS,280.0
F1,SS,281.0
F1,SS,282.0
F1,SS,281.0
F1,SS,279.0
F1,SS,280.0
F1,SS,283.0
F1,GS,281.0
F1,GS,281.0
F1,GS,281.0
F1,GS,280.0
F1,GS,281.0
F1,GS,282.0
F1,GS,281.0
F1,GS,279.0
F1,GS,280.0
F1,GS,283.0
F1,Jena,1201.0
F1,Jena,784.0
F1,Jena,6425.0
F1,Jena,5903.0
F1,Jena,846.0
F1,Jena,2140.0
F1,Jena,2157.0
F1,Jena,2165.0
F1,Jena,1392.0
F1,Jena,907.0
F1,GDB,233.0
F1,GDB,233.0
F1,GDB,233.0
F1,GDB,231.0
F1,GDB,231.0
F1,GDB,229.0
F1,GDB,231.0
F1,GDB,230.0
F1,GDB,232.0
F1,GDB,236.0
F2,SS,1787.0
F2,SS,1787.0
F2,SS,1782.0
F2,SS,1788.0
F2,SS,1782.0
F2,SS,1785.0
F2,SS,1786.0
F2,SS,1788.0
F2,SS,1794.0
F2,SS,1792.0
F2,GS,1787.0
F2,GS,1787.0
F2,GS,1782.0
F2,GS,1788.0
F2,GS,1782.0
F2,GS,1785.0
F2,GS,1786.0
F2,GS,1788.0
F2,GS,1794.0
F2,GS,1792.0
F2,Jena,13854.0
F2,Jena,10361.0
F2,Jena,8291.0
F2,Jena,10593.0
F2,Jena,26672.0
F2,Jena,32912.0
F2,Jena,10877.0
F2,Jena,22134.0
F2,Jena,7135.0
F2,Jena,17587.0
F2,GDB,2018.0
F2,GDB,2018.0
F2,GDB,2018.0
F2,GDB,2007.0
F2,GDB,1987.0
F2,GDB,1987.0
F2,GDB,1994.0
F2,GDB,1995.0
F2,GDB,2020.0
F2,GDB,2034.0
F3,SS,6671.0
F3,SS,6671.0
F3,SS,6777.0
F3,SS,6512.0
F3,SS,6449.0
F3,SS,6559.0
F3,SS,6400.0
F3,SS,6401.0
F3,SS,6418.0
F3,SS,6429.0
F3,GS,6671.0
F3,GS,6671.0
F3,GS,6777.0
F3,GS,6512.0
F3,GS,6449.0
F3,GS,6559.0
F3,GS,6400.0
F3,GS,6401.0
F3,GS,6418.0
F3,GS,6429.0
F3,Jena,6807.0
F3,Jena,149363.0
F3,Jena,34621.0
F3,Jena,8340.0
F3,Jena,34047.0
F3,Jena,6736.0
F3,Jena,6867.0
F3,Jena,30329.0
F3,Jena,34136.0
F3,Jena,76008.0
F3,GDB,8985.0
F3,GDB,8985.0
F3,GDB,9003.0
F3,GDB,9186.0
F3,GDB,9496.0
F3,GDB,9104.0
F3,GDB,8968.0
F3,GDB,9051.0
F3,GDB,9129.0
F3,GDB,9579.0
F4,SS,4106.0
F4,SS,4106.0
F4,SS,4131.0
F4,SS,4218.0
F4,SS,4051.0
F4,SS,4080.0
F4,SS,4137.0
F4,SS,4111.0
F4,SS,4193.0
F4,SS,4044.0
F4,GS,4106.0
F4,GS,4106.0
F4,GS,4131.0
F4,GS,4218.0
F4,GS,4051.0
F4,GS,4080.0
F4,GS,4137.0
F4,GS,4111.0
F4,GS,4193.0
F4,GS,4044.0
F4,Jena,6402.0
F4,Jena,6088.0
F4,Jena,6245.0
F4,Jena,6438.0
F4,Jena,4458.0
F4,Jena,4490.0
F4,Jena,4220.0
F4,Jena,6018.0
F4,Jena,7402.0
F4,Jena,4251.0
F4,GDB,3006.0
F4,GDB,3006.0
F4,GDB,3008.0
F4,GDB,2998.0
F4,GDB,3008.0
F4,GDB,3029.0
F4,GDB,3079.0
F4,GDB,3138.0
F4,GDB,3101.0
F4,GDB,3056.0
F5,SS,82058.0
F5,SS,82058.0
F5,SS,77638.0
F5,SS,77712.0
F5,SS,76621.0
F5,SS,77086.0
F5,SS,77463.0
F5,SS,76738.0
F5,SS,77893.0
F5,SS,80806.0
F5,GS,75704.0
F5,GS,75704.0
F5,GS,77002.0
F5,GS,75797.0
F5,GS,76210.0
F5,GS,76652.0
F5,GS,75943.0
F5,GS,75889.0
F5,GS,76879.0
F5,GS,75995.0
F5,Jena,59106.0
F5,Jena,98753.0
F5,Jena,83331.0
F5,Jena,58074.0
F5,Jena,97488.0
F5,Jena,83002.0
F5,Jena,142554.0
F5,Jena,107706.0
F5,Jena,58268.0
F5,Jena,97782.0
F5,GDB,55057.0
F5,GDB,55057.0
F5,GDB,54517.0
F5,GDB,55099.0
F5,GDB,54097.0
F5,GDB,54112.0
F5,GDB,54738.0
F5,GDB,53984.0
F5,GDB,53836.0
F5,GDB,54767.0
S1,SS,16614.0
S1,SS,16614.0
S1,SS,16202.0
S1,SS,16189.0
S1,SS,16231.0
S1,SS,16332.0
S1,SS,16419.0
S1,SS,16525.0
S1,SS,16542.0
S1,SS,16205.0
S1,GS,16591.0
S1,GS,16591.0
S1,GS,16603.0
S1,GS,16637.0
S1,GS,16692.0
S1,GS,16298.0
S1,GS,16371.0
S1,GS,16386.0
S1,GS,16464.0
S1,GS,16601.0
S1,Jena,48821.0
S1,Jena,173320.0
S1,Jena,123512.0
S1,Jena,171306.0
S1,Jena,419558.0
S1,Jena,126590.0
S1,Jena,48611.0
S1,Jena,120297.0
S1,Jena,274441.0
S1,Jena,70420.0
S1,GDB,19925.0
S1,GDB,19925.0
S1,GDB,19407.0
S1,GDB,19521.0
S1,GDB,19739.0
S1,GDB,19757.0
S1,GDB,19876.0
S1,GDB,19509.0
S1,GDB,19571.0
S1,GDB,19891.0
S2,SS,10003.0
S2,SS,10003.0
S2,SS,10025.0
S2,SS,10006.0
S2,SS,10019.0
S2,SS,10281.0
S2,SS,10404.0
S2,SS,10413.0
S2,SS,10390.0
S2,SS,10519.0
S2,GS,10003.0
S2,GS,10003.0
S2,GS,10025.0
S2,GS,10006.0
S2,GS,10019.0
S2,GS,10281.0
S2,GS,10404.0
S2,GS,10413.0
S2,GS,10390.0
S2,GS,10519.0
S2,Jena,9952.0
S2,Jena,13102.0
S2,Jena,11227.0
S2,Jena,12583.0
S2,Jena,11203.0
S2,Jena,9768.0
S2,Jena,12356.0
S2,Jena,9897.0
S2,Jena,10017.0
S2,Jena,12267.0
S2,GDB,12978.0
S2,GDB,12978.0
S2,GDB,12889.0
S2,GDB,12464.0
S2,GDB,12589.0
S2,GDB,12579.0
S2,GDB,12650.0
S2,GDB,12629.0
S2,GDB,12416.0
S2,GDB,12379.0
S3,SS,624.0
S3,SS,624.0
S3,SS,623.0
S3,SS,626.0
S3,SS,625.0
S3,SS,625.0
S3,SS,626.0
S3,SS,633.0
S3,SS,635.0
S3,SS,635.0
S3,GS,624.0
S3,GS,624.0
S3,GS,623.0
S3,GS,626.0
S3,GS,625.0
S3,GS,625.0
S3,GS,626.0
S3,GS,633.0
S3,GS,635.0
S3,GS,635.0
S3,Jena,23762.0
S3,Jena,2818.0
S3,Jena,2834.0
S3,Jena,696.0
S3,Jena,1571.0
S3,Jena,23496.0
S3,Jena,24310.0
S3,Jena,23038.0
S3,Jena,1168.0
S3,Jena,1557.0
S3,GDB,629.0
S3,GDB,629.0
S3,GDB,627.0
S3,GDB,631.0
S3,GDB,625.0
S3,GDB,627.0
S3,GDB,628.0
S3,GDB,627.0
S3,GDB,626.0
S3,GDB,628.0
S4,SS,720.0
S4,SS,720.0
S4,SS,720.0
S4,SS,723.0
S4,SS,721.0
S4,SS,719.0
S4,SS,716.0
S4,SS,718.0
S4,SS,716.0
S4,SS,719.0
S4,GS,715.0
S4,GS,715.0
S4,GS,719.0
S4,GS,715.0
S4,GS,715.0
S4,GS,716.0
S4,GS,711.0
S4,GS,717.0
S4,GS,720.0
S4,GS,711.0
S4,Jena,1735.0
S4,Jena,1909.0
S4,Jena,1910.0
S4,Jena,1750.0
S4,Jena,1740.0
S4,Jena,1739.0
S4,Jena,1888.0
S4,Jena,1906.0
S4,Jena,1744.0
S4,Jena,1732.0
S4,GDB,732.0
S4,GDB,732.0
S4,GDB,732.0
S4,GDB,732.0
S4,GDB,737.0
S4,GDB,732.0
S4,GDB,734.0
S4,GDB,735.0
S4,GDB,743.0
S4,GDB,740.0
S5,SS,449.0
S5,SS,449.0
S5,SS,453.0
S5,SS,449.0
S5,SS,449.0
S5,SS,453.0
S5,SS,450.0
S5,SS,446.0
S5,SS,448.0
S5,SS,443.0
S5,GS,449.0
S5,GS,449.0
S5,GS,453.0
S5,GS,449.0
S5,GS,449.0
S5,GS,453.0
S5,GS,450.0
S5,GS,446.0
S5,GS,448.0
S5,GS,443.0
S5,Jena,472.0
S5,Jena,471.0
S5,Jena,489.0
S5,Jena,503.0
S5,Jena,482.0
S5,Jena,481.0
S5,Jena,464.0
S5,Jena,464.0
S5,Jena,469.0
S5,Jena,474.0
S5,GDB,470.0
S5,GDB,470.0
S5,GDB,470.0
S5,GDB,474.0
S5,GDB,471.0
S5,GDB,472.0
S5,GDB,473.0
S5,GDB,471.0
S5,GDB,475.0
S5,GDB,472.0
S6,SS,215.0
S6,SS,215.0
S6,SS,217.0
S6,SS,216.0
S6,SS,216.0
S6,SS,216.0
S6,SS,215.0
S6,SS,217.0
S6,SS,219.0
S6,SS,219.0
S6,GS,215.0
S6,GS,215.0
S6,GS,217.0
S6,GS,216.0
S6,GS,216.0
S6,GS,216.0
S6,GS,215.0
S6,GS,217.0
S6,GS,219.0
S6,GS,219.0
S6,Jena,222.0
S6,Jena,22277.0
S6,Jena,226.0
S6,Jena,221.0
S6,Jena,222.0
S6,Jena,258.0
S6,Jena,22134.0
S6,Jena,22334.0
S6,Jena,22533.0
S6,Jena,21936.0
S6,GDB,222.0
S6,GDB,222.0
S6,GDB,222.0
S6,GDB,222.0
S6,GDB,222.0
S6,GDB,220.0
S6,GDB,219.0
S6,GDB,220.0
S6,GDB,221.0
S6,GDB,220.0
S7,SS,4155.0
S7,SS,4155.0
S7,SS,4131.0
S7,SS,4150.0
S7,SS,4125.0
S7,SS,4147.0
S7,SS,4148.0
S7,SS,4138.0
S7,SS,4146.0
S7,SS,4154.0
S7,GS,4155.0
S7,GS,4155.0
S7,GS,4131.0
S7,GS,4150.0
S7,GS,4125.0
S7,GS,4147.0
S7,GS,4148.0
S7,GS,4138.0
S7,GS,4146.0
