Query,Type,Time
C1,SS,219.0
C1,SS,171.0
C1,SS,162.0
C1,SS,166.0
C1,SS,163.0
C1,SS,164.0
C1,SS,163.0
C1,SS,163.0
C1,SS,162.0
C1,SS,166.0
C1,GS,220.0
C1,GS,165.0
C1,GS,166.0
C1,GS,167.0
C1,GS,167.0
C1,GS,165.0
C1,GS,166.0
C1,GS,167.0
C1,GS,165.0
C1,GS,167.0
C1,Jena,2191.0
C1,Jena,2191.0
C1,Jena,3248.0
C1,Jena,2706.0
C1,Jena,11603.0
C1,Jena,827.0
C1,Jena,6231.0
C1,Jena,812.0
C1,Jena,9403.0
C1,Jena,5385.0
C1,GDB,2462.0
C1,GDB,2462.0
C1,GDB,2488.0
C1,GDB,2482.0
C1,GDB,2478.0
C1,GDB,2485.0
C1,GDB,2486.0
C1,GDB,2483.0
C1,GDB,2471.0
C1,GDB,2479.0
C2,SS,1061.0
C2,SS,923.0
C2,SS,903.0
C2,SS,951.0
C2,SS,1046.0
C2,SS,904.0
C2,SS,934.0
C2,SS,901.0
C2,SS,892.0
C2,SS,897.0
C2,GS,1039.0
C2,GS,937.0
C2,GS,918.0
C2,GS,923.0
C2,GS,916.0
C2,GS,924.0
C2,GS,918.0
C2,GS,924.0
C2,GS,923.0
C2,GS,924.0
C2,Jena,3249.0
C2,Jena,3249.0
C2,Jena,2474.0
C2,Jena,2445.0
C2,Jena,2381.0
C2,Jena,3204.0
C2,Jena,2428.0
C2,Jena,3131.0
C2,Jena,2949.0
C2,Jena,2412.0
C2,GDB,1900.0
C2,GDB,1900.0
C2,GDB,1884.0
C2,GDB,1912.0
C2,GDB,1925.0
C2,GDB,1886.0
C2,GDB,1945.0
C2,GDB,1954.0
C2,GDB,1942.0
C2,GDB,1887.0
C3,SS,5731.0
C3,SS,5309.0
C3,SS,5268.0
C3,SS,5260.0
C3,SS,5247.0
C3,SS,5229.0
C3,SS,5544.0
C3,SS,5324.0
C3,SS,5430.0
C3,SS,5219.0
C3,GS,5988.0
C3,GS,5379.0
C3,GS,5319.0
C3,GS,5131.0
C3,GS,4935.0
C3,GS,4991.0
C3,GS,5016.0
C3,GS,4936.0
C3,GS,4914.0
C3,GS,4918.0
C3,Jena,187050.0
C3,Jena,187050.0
C3,Jena,131660.0
C3,Jena,444919.0
C3,Jena,27975.0
C3,Jena,21169.0
C3,Jena,28641.0
C3,Jena,114607.0
C3,Jena,142362.0
C3,Jena,60294.0
C3,GDB,9734.0
C3,GDB,9734.0
C3,GDB,9645.0
C3,GDB,9623.0
C3,GDB,9573.0
C3,GDB,9778.0
C3,GDB,9593.0
C3,GDB,9691.0
C3,GDB,9760.0
C3,GDB,9610.0
F1,SS,31.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,SS,26.0
F1,GS,31.0
F1,GS,27.0
F1,GS,27.0
F1,GS,29.0
F1,GS,26.0
F1,GS,27.0
F1,GS,26.0
F1,GS,26.0
F1,GS,27.0
F1,GS,26.0
F1,Jena,119.0
F1,Jena,119.0
F1,Jena,105.0
F1,Jena,198.0
F1,Jena,119.0
F1,Jena,533.0
F1,Jena,543.0
F1,Jena,200.0
F1,Jena,140.0
F1,Jena,68.0
F1,GDB,18.0
F1,GDB,18.0
F1,GDB,19.0
F1,GDB,24.0
F1,GDB,19.0
F1,GDB,19.0
F1,GDB,19.0
F1,GDB,19.0
F1,GDB,18.0
F1,GDB,19.0
F2,SS,161.0
F2,SS,162.0
F2,SS,158.0
F2,SS,158.0
F2,SS,158.0
F2,SS,158.0
F2,SS,158.0
F2,SS,160.0
F2,SS,158.0
F2,SS,159.0
F2,GS,163.0
F2,GS,163.0
F2,GS,160.0
F2,GS,163.0
F2,GS,160.0
F2,GS,160.0
F2,GS,164.0
F2,GS,161.0
F2,GS,163.0
F2,GS,160.0
F2,Jena,3815.0
F2,Jena,3815.0
F2,Jena,518.0
F2,Jena,1583.0
F2,Jena,3266.0
F2,Jena,2449.0
F2,Jena,1734.0
F2,Jena,636.0
F2,Jena,337.0
F2,Jena,930.0
F2,GDB,158.0
F2,GDB,158.0
F2,GDB,156.0
F2,GDB,158.0
F2,GDB,155.0
F2,GDB,156.0
F2,GDB,158.0
F2,GDB,156.0
F2,GDB,155.0
F2,GDB,158.0
F3,SS,668.0
F3,SS,635.0
F3,SS,638.0
F3,SS,651.0
F3,SS,646.0
F3,SS,634.0
F3,SS,641.0
F3,SS,637.0
F3,SS,660.0
F3,SS,641.0
F3,GS,698.0
F3,GS,637.0
F3,GS,641.0
F3,GS,646.0
F3,GS,640.0
F3,GS,641.0
F3,GS,640.0
F3,GS,641.0
F3,GS,642.0
F3,GS,641.0
F3,Jena,5029.0
F3,Jena,5029.0
F3,Jena,6645.0
F3,Jena,765.0
F3,Jena,1215.0
F3,Jena,5109.0
F3,Jena,6200.0
F3,Jena,6213.0
F3,Jena,6440.0
F3,Jena,2745.0
F3,GDB,822.0
F3,GDB,822.0
F3,GDB,819.0
F3,GDB,759.0
F3,GDB,748.0
F3,GDB,764.0
F3,GDB,765.0
F3,GDB,755.0
F3,GDB,750.0
F3,GDB,748.0
F4,SS,364.0
F4,SS,343.0
F4,SS,365.0
F4,SS,337.0
F4,SS,333.0
F4,SS,390.0
F4,SS,332.0
F4,SS,333.0
F4,SS,340.0
F4,SS,332.0
F4,GS,382.0
F4,GS,355.0
F4,GS,351.0
F4,GS,350.0
F4,GS,346.0
F4,GS,349.0
F4,GS,348.0
F4,GS,349.0
F4,GS,354.0
F4,GS,352.0
F4,Jena,527.0
F4,Jena,527.0
F4,Jena,364.0
F4,Jena,522.0
F4,Jena,364.0
F4,Jena,395.0
F4,Jena,360.0
F4,Jena,385.0
F4,Jena,361.0
F4,Jena,384.0
F4,GDB,193.0
F4,GDB,193.0
F4,GDB,194.0
F4,GDB,198.0
F4,GDB,193.0
F4,GDB,193.0
F4,GDB,194.0
F4,GDB,195.0
F4,GDB,191.0
F4,GDB,193.0
F5,SS,7064.0
F5,SS,6576.0
F5,SS,6176.0
F5,SS,5695.0
F5,SS,5754.0
F5,SS,5928.0
F5,SS,5746.0
F5,SS,5761.0
F5,SS,5767.0
F5,SS,5693.0
F5,GS,8122.0
F5,GS,7374.0
F5,GS,6670.0
F5,GS,6637.0
F5,GS,6458.0
F5,GS,6620.0
F5,GS,6412.0
F5,GS,6401.0
F5,GS,6058.0
F5,GS,5785.0
F5,Jena,23155.0
F5,Jena,23155.0
F5,Jena,7440.0
F5,Jena,9106.0
F5,Jena,5981.0
F5,Jena,12312.0
F5,Jena,4831.0
F5,Jena,7248.0
F5,Jena,7252.0
F5,Jena,8649.0
F5,GDB,5573.0
F5,GDB,5573.0
F5,GDB,5524.0
F5,GDB,6083.0
F5,GDB,5458.0
F5,GDB,5543.0
F5,GDB,4956.0
F5,GDB,5342.0
F5,GDB,5426.0
F5,GDB,5426.0
S1,SS,1515.0
S1,SS,1551.0
S1,SS,1491.0
S1,SS,1530.0
S1,SS,1525.0
S1,SS,1463.0
S1,SS,1474.0
S1,SS,1461.0
S1,SS,1469.0
S1,SS,1467.0
S1,GS,1467.0
S1,GS,1419.0
S1,GS,1449.0
S1,GS,1427.0
S1,GS,1419.0
S1,GS,1488.0
S1,GS,1498.0
S1,GS,1422.0
S1,GS,1421.0
S1,GS,1453.0
S1,Jena,17417.0
S1,Jena,17417.0
S1,Jena,9048.0
S1,Jena,11018.0
S1,Jena,6681.0
S1,Jena,8473.0
S1,Jena,23101.0
S1,Jena,13850.0
S1,Jena,5271.0
S1,Jena,9651.0
S1,GDB,1720.0
S1,GDB,1720.0
S1,GDB,2009.0
S1,GDB,1781.0
S1,GDB,1868.0
S1,GDB,1786.0
S1,GDB,2047.0
S1,GDB,1802.0
S1,GDB,2149.0
S1,GDB,1719.0
S2,SS,1317.0
S2,SS,1100.0
S2,SS,1095.0
S2,SS,1148.0
S2,SS,1119.0
S2,SS,1069.0
S2,SS,1072.0
S2,SS,1083.0
S2,SS,1107.0
S2,SS,1091.0
S2,GS,1395.0
S2,GS,1198.0
S2,GS,1190.0
S2,GS,1189.0
S2,GS,1193.0
S2,GS,1198.0
S2,GS,1191.0
S2,GS,1194.0
S2,GS,1189.0
S2,GS,1182.0
S2,Jena,1287.0
S2,Jena,1287.0
S2,Jena,980.0
S2,Jena,1290.0
S2,Jena,1293.0
S2,Jena,978.0
S2,Jena,980.0
S2,Jena,1290.0
S2,Jena,986.0
S2,Jena,952.0
S2,GDB,1273.0
S2,GDB,1273.0
S2,GDB,1248.0
S2,GDB,1236.0
S2,GDB,1193.0
S2,GDB,1170.0
S2,GDB,1158.0
S2,GDB,1143.0
S2,GDB,1137.0
S2,GDB,1080.0
S3,SS,69.0
S3,SS,60.0
S3,SS,60.0
S3,SS,60.0
S3,SS,60.0
S3,SS,60.0
S3,SS,60.0
S3,SS,60.0
S3,SS,62.0
S3,SS,60.0
S3,GS,66.0
S3,GS,61.0
S3,GS,61.0
S3,GS,80.0
S3,GS,62.0
S3,GS,59.0
S3,GS,59.0
S3,GS,59.0
S3,GS,60.0
S3,GS,62.0
S3,Jena,106.0
S3,Jena,106.0
S3,Jena,94.0
S3,Jena,2000.0
S3,Jena,91.0
S3,Jena,244.0
S3,Jena,133.0
S3,Jena,56.0
S3,Jena,239.0
S3,Jena,93.0
S3,GDB,49.0
S3,GDB,49.0
S3,GDB,49.0
S3,GDB,50.0
S3,GDB,49.0
S3,GDB,50.0
S3,GDB,50.0
S3,GDB,50.0
S3,GDB,49.0
S3,GDB,49.0
S4,SS,61.0
S4,SS,60.0
S4,SS,59.0
S4,SS,62.0
S4,SS,59.0
S4,SS,60.0
S4,SS,60.0
S4,SS,60.0
S4,SS,60.0
S4,SS,59.0
S4,GS,63.0
S4,GS,61.0
S4,GS,60.0
S4,GS,67.0
S4,GS,60.0
S4,GS,60.0
S4,GS,62.0
S4,GS,61.0
S4,GS,60.0
S4,GS,62.0
S4,Jena,189.0
S4,Jena,189.0
S4,Jena,178.0
S4,Jena,192.0
S4,Jena,177.0
S4,Jena,191.0
S4,Jena,177.0
S4,Jena,193.0
S4,Jena,183.0
S4,Jena,174.0
S4,GDB,66.0
S4,GDB,66.0
S4,GDB,65.0
S4,GDB,66.0
