Query,Type,Time
c1,SS,235.0
c1,SS,232.0
c1,SS,233.0
c1,SS,231.0
c1,SS,231.0
c1,SS,232.0
c1,SS,235.0
c1,SS,232.0
c1,SS,231.0
c1,SS,231.0
c1,GS,3.0
c1,GS,3.0
c1,GS,2.0
c1,GS,2.0
c1,GS,3.0
c1,GS,3.0
c1,GS,2.0
c1,GS,2.0
c1,GS,2.0
c1,GS,2.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,2.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,1.0
c1,Jena,1.0
c1,GDB,0.0
c1,GDB,1.0
c1,GDB,1.0
c1,GDB,0.0
c1,GDB,0.0
c1,GDB,0.0
c1,GDB,1.0
c1,GDB,0.0
c1,GDB,0.0
c1,GDB,0.0
c2,SS,99.0
c2,SS,94.0
c2,SS,94.0
c2,SS,93.0
c2,SS,92.0
c2,SS,93.0
c2,SS,93.0
c2,SS,93.0
c2,SS,91.0
c2,SS,92.0
c2,GS,7.0
c2,GS,7.0
c2,GS,6.0
c2,GS,10.0
c2,GS,4.0
c2,GS,5.0
c2,GS,6.0
c2,GS,5.0
c2,GS,5.0
c2,GS,5.0
c2,Jena,1.0
c2,Jena,2.0
c2,Jena,1.0
c2,Jena,1.0
c2,Jena,1.0
c2,Jena,2.0
c2,Jena,1.0
c2,Jena,1.0
c2,Jena,1.0
c2,Jena,2.0
c2,GDB,0.0
c2,GDB,0.0
c2,GDB,1.0
c2,GDB,0.0
c2,GDB,0.0
c2,GDB,0.0
c2,GDB,0.0
c2,GDB,1.0
c2,GDB,1.0
c2,GDB,1.0
c3,SS,16.0
c3,SS,16.0
c3,SS,16.0
c3,SS,16.0
c3,SS,16.0
c3,SS,16.0
c3,SS,17.0
c3,SS,16.0
c3,SS,17.0
c3,SS,17.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,GS,1.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,2.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,1.0
c3,Jena,2.0
c3,GDB,0.0
c3,GDB,1.0
c3,GDB,0.0
c3,GDB,0.0
c3,GDB,1.0
c3,GDB,0.0
c3,GDB,0.0
c3,GDB,1.0
c3,GDB,1.0
c3,GDB,0.0
f1,SS,24.0
f1,SS,22.0
f1,SS,22.0
f1,SS,23.0
f1,SS,24.0
f1,SS,22.0
f1,SS,22.0
f1,SS,22.0
f1,SS,22.0
f1,SS,22.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,GS,2.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
f1,Jena,1.0
