Query,Type,Time
c1,SS,288.0
c1,SS,265.0
c1,SS,259.0
c1,SS,261.0
c1,SS,259.0
c1,SS,260.0
c1,SS,257.0
c1,SS,260.0
c1,SS,258.0
c1,SS,282.0
c1,GS,283.0
c1,GS,255.0
c1,GS,250.0
c1,GS,255.0
c1,GS,252.0
c1,GS,249.0
c1,GS,253.0
c1,GS,265.0
c1,GS,251.0
c1,GS,249.0
c1,Jena,3579.0
c1,Jena,613.0
c1,Jena,633.0
c1,Jena,1030.0
c1,Jena,4289.0
c1,Jena,312.0
c1,Jena,663.0
c1,Jena,471.0
c1,Jena,4073.0
c1,Jena,928.0
c1,GDB,263.0
c1,GDB,230.0
c1,GDB,229.0
c1,GDB,230.0
c1,GDB,232.0
c1,GDB,229.0
c1,GDB,233.0
c1,GDB,229.0
c1,GDB,229.0
c1,GDB,229.0
c2,SS,83.0
c2,SS,78.0
c2,SS,79.0
c2,SS,91.0
c2,SS,79.0
c2,SS,79.0
c2,SS,80.0
c2,SS,79.0
c2,SS,78.0
c2,SS,78.0
c2,GS,90.0
c2,GS,77.0
c2,GS,77.0
c2,GS,79.0
c2,GS,77.0
c2,GS,76.0
c2,GS,78.0
c2,GS,77.0
c2,GS,80.0
c2,GS,77.0
c2,Jena,1003.0
c2,Jena,892.0
c2,Jena,895.0
c2,Jena,74.0
c2,Jena,904.0
c2,Jena,76.0
c2,Jena,1493.0
c2,Jena,1503.0
c2,Jena,1542.0
c2,Jena,947.0
c2,GDB,88.0
c2,GDB,78.0
c2,GDB,77.0
c2,GDB,116.0
c2,GDB,77.0
c2,GDB,77.0
c2,GDB,78.0
c2,GDB,77.0
c2,GDB,79.0
c2,GDB,77.0
c3,SS,6.0
c3,SS,5.0
c3,SS,5.0
c3,SS,5.0
c3,SS,5.0
c3,SS,7.0
c3,SS,5.0
c3,SS,5.0
c3,SS,4.0
c3,SS,5.0
c3,GS,7.0
c3,GS,5.0
c3,GS,4.0
c3,GS,5.0
c3,GS,5.0
c3,GS,4.0
c3,GS,4.0
c3,GS,5.0
c3,GS,5.0
c3,GS,5.0
c3,Jena,3021.0
c3,Jena,1596.0
c3,Jena,5314.0
c3,Jena,4.0
c3,Jena,5701.0
c3,Jena,7650.0
c3,Jena,5.0
c3,Jena,1659.0
c3,Jena,3458.0
c3,Jena,5368.0
c3,GDB,8.0
c3,GDB,6.0
c3,GDB,6.0
c3,GDB,6.0
c3,GDB,6.0
c3,GDB,6.0
c3,GDB,6.0
c3,GDB,6.0
